,month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
14,202108,connecticut,ct,469200.0,-0.0423,0.2034,7944,0.0232,-0.5194,42.0,0.166666667,-0.14285714300000002,4652,-0.0806,-0.2072,204,0.8889,-0.32,2028,0.0284,-0.1716,10102,-0.0525,58.076,237.9260309,0.0537,0.2966,1939.5,-0.1058,-0.0817,1069414.192,-0.0646,0.3241,18046,-0.0206,0.0805,1.2716515609999999,-0.1016,1.2613
15,202108,maryland,md,375000.0,-0.0129,0.0417,9773,0.0588,-0.0438,34.5,0.045454545,-0.197674419,8464,-0.0674,0.1975,380,-0.0952,-0.4379,3828,0.1888,0.4284,14372,0.0238,2.5885,199.33880019999998,-0.0056,0.11699999999999999,1755.5,-0.0115,-0.0632,502298.4328,-0.0311,-0.0193,24145,0.0377,0.6972,1.470582216,-0.0503,1.0787
16,202108,louisiana,la,275000.0,0.0,0.1004,8772,0.0531,-0.3149,53.5,0.07,-0.286666667,3960,-0.0265,0.0554,144,-0.1429,-0.7231,2552,0.1475,-0.2162,9507,-0.0137,0.1731,139.6677051,0.0021,0.1173,1928.5,-0.0085,-0.025,381640.49600000004,-0.0038,0.1306,18279,0.0173,-0.1257,1.08378933,-0.0734,0.4509
17,202108,washington,wa,575000.0,-0.0085,0.1501,8907,0.0992,-0.3316,29.5,-0.016666667,-0.202702703,10256,-0.0172,0.0855,920,-0.0873,-0.11199999999999999,3096,0.3163,-0.0926,16019,0.0025,-0.0223,296.2300572,-0.0037,0.1726,1876.5,0.0198,-0.0508,781428.5375,-0.0199,0.1102,24926,0.035,-0.1611,1.7984731109999998,-0.1735,0.5689
18,202108,rhode island,ri,420500.0,0.0014,0.0014,1565,0.1044,-0.1392,32.0,0.066666667,-0.346938776,1488,-0.0053,0.1239,16,-0.3333,-0.3333,408,0.36,0.1209,2640,0.0046,-0.0881,277.9358587,0.008,0.138,1550.5,-0.0029,-0.0793,732137.6697,-0.0588,-0.0149,4205,0.0396,-0.1078,1.686900958,-0.1677,0.0945
19,202108,south carolina,sc,325000.0,0.0,0.1207,10455,0.0966,-0.4589,36.5,0.013888889,-0.455223881,7596,0.048,0.0486,984,-0.0502,-0.5233,3140,0.2954,-0.3233,15325,-0.0042,0.0237,143.6502356,0.0015,0.0789,1684.5,0.0075,-0.0308,522510.703,0.0079,0.1651,25780,0.0344,-0.2482,1.465805835,-0.1483,0.691
20,202108,utah,ut,591700.0,-0.0055,0.1858,5205,0.0723,-0.2463,24.5,0.065217391,-0.519607843,5156,0.0471,0.1499,336,0.4483,-0.5579,2040,0.3178,0.2814,9402,0.0234,-0.1016,240.61238030000004,-0.0001,0.2178,2490.0,-0.0084,-0.0334,1109836.78,-0.0397,0.1886,14607,0.0403,-0.1591,1.8063400580000002,-0.0863,0.29100000000000004
21,202108,delaware,de,386250.0,0.0164,0.1164,1710,0.0006,-0.3284,45.0,0.071428571,-0.366197183,1332,0.0122,0.1174,144,-0.3208,-0.6538,480,0.0526,0.0811,3366,0.0219,3.5921,179.2430387,-0.0019,0.1239,1941.0,-0.0046,-0.0448,474619.3418,-0.006999999999999999,0.0065,5076,0.0146,0.5479999999999999,1.9684210530000001,0.040999999999999995,1.6805
22,202108,new hampshire,nh,419450.0,-0.0128,0.0898,2363,0.0181,-0.2017,31.0,0.107142857,-0.295454545,2020,-0.0768,-0.0578,52,-0.0714,-0.6579,668,0.0915,0.1761,1981,0.0372,-0.2271,220.0803433,0.0091,0.1561,1889.5,-0.0159,-0.0515,571930.7161,-0.003,0.1197,4344,0.0267,-0.2135,0.8383410920000001,0.0154,-0.0275
23,202108,minnesota,mn,319900.0,-0.0151,0.0353,12314,0.0841,-0.2153,35.0,0.0,-0.239130435,9128,-0.0289,-0.026000000000000002,208,-0.1613,-0.4694,3844,0.2119,-0.0052,13153,-0.0335,-0.0017,172.8177471,-0.002,0.1143,1867.5,-0.0024,-0.0704,413094.653,-0.0048,0.0224,25467,0.02,-0.1178,1.068133831,-0.1299,0.2285
24,202108,idaho,id,541500.0,-0.0153,0.3211,5140,0.18,0.177,31.5,0.125,-0.284090909,3644,-0.0204,0.2813,88,-0.3125,-0.7732,2640,0.1828,1.8205,5785,-0.006999999999999999,0.0,272.2660059,-0.0005,0.3619,2115.5,-0.0114,-0.0349,837908.6656,-0.0374,0.1753,10925,0.073,0.0761,1.125486381,-0.212,-0.1992
25,202108,mississippi,ms,234950.0,-0.0071,0.0327,4427,0.0882,-0.3524,50.0,0.020408163,-0.382716049,2164,-0.0092,0.0464,108,-0.0357,-0.5714,1104,0.1845,-0.1534,4147,0.0247,-0.0482,109.16052930000001,-0.0116,0.0585,1982.5,-0.0088,-0.0367,320617.7521,-0.0309,0.11699999999999999,8574,0.0566,-0.23399999999999999,0.936751751,-0.0581,0.2994
26,202108,michigan,mi,252450.0,-0.0287,-0.0096,19171,0.1042,-0.2144,30.5,0.016666667,-0.39,14428,-0.0473,0.077,344,-0.3485,-0.5,6552,0.21600000000000003,0.0031,14645,0.0874,-0.1406,155.71875,-0.0062,0.1042,1608.5,-0.012,-0.084,378226.8911,-0.0149,0.0412,33816,0.0969,-0.184,0.763914245,-0.0118,0.0656
27,202108,georgia,ga,364950.0,-0.0134,0.1062,29593,0.0711,-0.3083,36.0,0.058823529000000006,-0.294117647,23012,-0.0266,0.0407,1408,0.0539,-0.6014,8580,0.0239,-0.2172,39503,-0.0372,-0.0324,145.90698030000001,-0.0006,0.1779,1856.5,-0.0208,-0.1121,513013.7,-0.0239,0.1304,69096,0.0064,-0.1736,1.334876491,-0.1502,0.3806
28,202108,colorado,co,579073.0,-0.0014,0.1032,12476,0.0466,-0.3449,33.5,0.11666666699999999,-0.355769231,10352,-0.0731,-0.019,452,-0.2313,-0.5516,4144,0.094,-0.2658,13935,-0.0009,-0.2263,263.4052679,0.0061,0.139,2176.0,-0.0041,-0.0465,1192998.398,0.0007,0.1679,26411,0.021,-0.2873,1.1169445340000002,-0.0531,0.1711
29,202108,oregon,or,525000.0,0.0,0.129,7730,0.0706,-0.1628,35.0,0.060606060999999996,-0.3,6712,-0.0306,0.1423,2796,-0.0898,0.1516,3880,0.3055,-0.0628,11210,-0.0082,-0.1015,282.6431145,0.0012,0.2023,1880.0,-0.0048,-0.0675,711146.2564,-0.0009,0.1316,18940,0.0225,-0.1276,1.450194049,-0.1153,0.0988
30,202108,illinois,il,264950.0,-0.0183,0.019,33409,0.037000000000000005,-0.2078,45.0,0.046511628,-0.181818182,19020,-0.081,-0.0351,256,-0.2809,-0.5844,9884,0.0905,-0.1604,30388,-0.0402,-0.1031,143.828125,0.0005,0.1381,1569.0,-0.0051,-0.0666,394060.1315,-0.0338,0.0185,63797,-0.0013,-0.1612,0.9095752640000001,-0.0732,0.1062
31,202108,missouri,mo,246900.0,-0.0084,0.0735,11515,0.0595,-0.1678,40.0,0.052631579000000005,-0.322033898,7788,-0.0702,0.146,256,-0.45299999999999996,-0.5817,3704,0.078,0.0755,15011,0.0005,-0.028999999999999998,134.1123084,0.0072,0.1564,1744.0,-0.0068,-0.0748,347406.674,-0.01,0.0779,26526,0.0253,-0.0946,1.303603995,-0.077,0.1864
32,202108,montana,mt,507450.0,-0.0147,0.2702,3116,0.0786,-0.2637,51.0,0.133333333,-0.271428571,1604,-0.0025,-0.0696,40,-0.2308,-0.4737,724,0.2397,0.0402,3334,-0.0325,-0.1872,255.6149829,-0.0107,0.3472,2082.5,0.0012,-0.0465,948255.1254,-0.0437,0.2683,6450,0.0182,-0.2261,1.069961489,-0.1228,0.1007
33,202108,north dakota,nd,259900.0,-0.008,0.0744,2023,0.028999999999999998,-0.2836,55.5,0.088235294,-0.1328125,772,-0.1498,-0.209,36,-0.1,-0.6087,552,0.1129,-0.2581,1183,-0.0475,-0.1244,124.09620990000002,-0.0086,0.0973,2128.5,-0.0049,-0.0105,305898.2565,-0.0162,0.0713,3206,-0.0006,-0.2321,0.584775087,-0.047,0.1064
34,202108,north carolina,nc,353244.0,-0.016,0.0267,15971,0.0623,-0.3704,37.5,0.013513513999999999,-0.38524590200000003,12864,-0.0219,0.0496,788,0.0707,-0.7020000000000001,4612,0.0472,-0.2251,24026,0.0002,0.0361,163.390625,0.0004,0.1344,1753.0,-0.0011,-0.1235,510393.5687,-0.0149,0.0735,39997,0.0241,-0.1762,1.5043516369999999,-0.0933,0.5902
35,202108,west virginia,wv,179450.0,0.0025,0.026000000000000002,3253,0.0497,-0.3223,52.0,0.0,-0.380952381,1600,0.0076,0.0204,48,0.0909,-0.5385,708,-0.0167,-0.2532,3041,0.0013,0.1184,93.42672414,-0.0024,0.1222,1584.5,-0.0097,-0.0409,273529.0643,-0.0236,0.0847,6294,0.0257,-0.1629,0.9348293879999999,-0.0452,0.3684
36,202108,hawaii,hi,724950.0,0.0139,0.1417,4231,-0.0334,-0.3782,49.5,0.03125,-0.35714285700000004,1552,0.0078,-0.1182,100,0.0417,0.5625,400,-0.1228,-0.4949,1207,-0.0622,0.1696,574.1851424,0.0015,0.0781,1196.0,0.0101,0.0067,1308311.768,0.0099,0.1283,5438,-0.0399,-0.306,0.285275349,-0.0088,0.1336
37,202108,florida,fl,395000.0,0.0154,0.1449,57152,0.0328,-0.4678,45.0,0.022727273,-0.415584416,34576,-0.0072,-0.0344,3288,0.0675,-0.452,14496,0.0393,-0.3873,69357,-0.04,-0.0405,233.28125,0.0119,0.2002,1622.5,0.0078,-0.0296,840094.3918,-0.0181,0.1816,126509,-0.0084,-0.2959,1.213553331,-0.0921,0.5405
38,202108,wisconsin,wi,279900.0,0.0,0.0367,10923,0.0782,-0.1763,38.0,0.055555556,-0.296296296,7380,-0.0274,0.0827,140,0.1667,-0.2553,3272,0.2119,0.0834,9544,-0.0019,-0.1041,151.1708333,-0.0014,0.1049,1700.0,0.0059,-0.0556,370543.2719,-0.0096,0.0328,20467,0.0393,-0.1441,0.8737526320000001,-0.0701,0.0704
39,202108,district of columbia,dc,582400.0,0.0059,-0.1434,1703,-0.0502,0.153,42.5,0.11842105300000001,0.37096774200000004,804,-0.2664,-0.2024,8,-0.6,-0.7143,448,-0.1825,-0.0508,1114,-0.0693,1.8564,553.2877093,-0.0307,-0.0515,1054.5,0.0268,-0.1198,919000.5008,-0.0064,-0.1053,2817,-0.0579,0.5088,0.6541397529999999,-0.0135,0.3901
40,202108,texas,tx,349925.5,0.0001,0.1259,52751,0.1039,-0.2888,35.5,0.014285714,-0.34259259299999995,36460,-0.0721,0.0749,2284,-0.1553,-0.6183,18656,0.1454,-0.1807,54431,-0.0229,-0.0366,165.3579102,0.0067,0.1728,2087.0,-0.0029,-0.0557,500677.0626,-0.0146,0.0985,107182,0.0356,-0.1798,1.031847737,-0.1339,0.2702
41,202108,new york,ny,569000.0,0.0161,0.0345,59377,0.0357,-0.1329,70.5,-0.034246575,0.084615385,20792,0.0533,-0.0383,736,-0.1822,-0.264,8652,-0.0571,-0.285,36920,0.0756,-0.1199,226.59375,-0.0004,0.0752,1331.0,-0.017,-0.0859,1321710.418,0.0871,0.1405,96297,0.0507,-0.1279,0.621789582,0.023,0.0092
42,202108,virginia,va,375000.0,-0.0106,0.0277,16792,0.0238,-0.1503,34.0,0.0625,-0.30612244899999996,12396,-0.0909,0.0935,648,-0.1606,-0.5525,5112,0.125,0.2183,17949,-0.0361,0.2797,189.07506030000002,-0.0003,0.1607,1913.0,-0.0052,-0.1106,545743.0972,-0.0132,0.043,34741,-0.0081,0.0282,1.068901858,-0.0664,0.3592
43,202108,alaska,ak,339950.0,0.0148,0.0792,1832,0.0732,-0.23600000000000002,36.5,0.073529412,-0.370689655,932,-0.1174,-0.0332,40,0.1111,-0.2308,756,0.1739,0.0107,139,0.11199999999999999,-0.0347,194.35359680000002,-0.0043,0.0941,1743.5,0.0131,-0.0026,400372.6174,0.0171,0.0932,1971,0.0759,-0.2246,0.075873362,0.0026,0.0158
44,202108,new jersey,nj,447000.0,0.0045,-0.0045,25722,0.0254,-0.1424,39.5,0.097222222,-0.05952381,14376,-0.0749,-0.1073,484,0.0254,-0.3564,5156,0.0583,-0.1153,19744,-0.0229,1.0309,0.0,,,0.0,,,649618.0089,-0.0024,0.0045,45466,0.0039,0.1448,0.767591945,-0.0379,0.4434
