month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,12089,"nassau, fl",485000,0.0683,0.2128,390,0.1437,-0.4397,41.5,-0.034883721,-0.461038961,268,0.2885,0.0635,40,-0.3333,-0.5455,100,0.0417,-0.3056,699,0.0417,0.0737,235.9587041,-0.0207,0.2373,2177.5,0.0067,0.0414,778238.3731,-0.0097,0.3961,1089,0.0761,-0.1915,1.792307692,-0.1754,0.857
202108,45057,"lancaster, sc",377000,0.0472,0.0446,140,0.3462,-0.3578,24.5,-0.183333333,-0.416666667,152,0.1515,0.2258,4,-0.6667,-0.9412,40,0.1111,-0.1667,148,-0.1084,-0.241,167.7430814,0.0439,0.1922,2147,-0.0009,-0.1639,467012.9126,0.0263,0.1629,288,0.0667,-0.3027,1.057142857,-0.539,0.1626
202108,17201,"winnebago, il",143000,-0.0265,-0.0592,633,0.1832,0.1028,29.5,0.053571429,-0.313953488,564,0.128,0.4688,4,,,220,-0.0984,0.0185,939,0.0445,-0.0126,87.34642061,0.027,0.1389,1651.5,-0.0454,-0.0825,198126.8471,-0.0584,0.0595,1572,0.0962,0.0308,1.483412322,-0.197,-0.1734
202108,6089,"shasta, ca",439450,0.022,0.1014,434,0.069,0.0585,37.5,0.209677419,-0.375,248,-0.1733,-0.0462,20,1.5,-0.1667,124,-0.1842,0.1481,41,0.025,0.0789,236.9303237,-0.0048,0.1411,1877.5,0.0029,-0.0124,613283.9429,-0.0016,0.1449,475,0.065,0.0603,0.094470046,-0.0041,0.0018
202108,27137,"st. louis, mn",209000,-0.0279,-0.114,631,0.0032,-0.3164,49,0.195121951,-0.257575758,320,-0.1398,-0.0244,0,-1,-1,236,0.3409,-0.1324,623,-0.0474,-0.0575,143.7180173,-0.0047,-0.0549,1406.5,-0.0327,-0.0741,324650.9944,-0.0315,-0.0099,1254,-0.0226,-0.2083,0.987321712,-0.0524,0.2712
202108,1033,"colbert, al",172450,0.021,-0.0414,127,0.1651,-0.0993,41.5,0.185714286,-0.341269841,48,-0.4286,-0.0769,0,-1,,32,0,0,130,64,129,93.57172471,0.0293,0.1117,1734,0.02,-0.1813,614236.9678,0.0836,1.1414,257,1.3153,0.8099,1.023622047,1.0053,1.0165
202108,20169,"saline, ks",127900,-0.0858,-0.1981,55,0.0377,-0.1538,23.5,0.382352941,-0.548076923,48,-0.0769,0.2,0,,,32,1,1,8,-0.3846,-0.9339,102.345649,-0.0441,-0.0681,1291.5,-0.0729,-0.0899,241782.0705,-0.0699,0.0476,63,-0.0455,-0.6613,0.145454545,-0.0998,-1.7161
202108,26159,"van buren, mi",339900,0,-0.0261,191,0.0495,-0.1907,44,0.047619048,-0.38028169,132,0.1,0.32,4,,,72,-0.0526,0.8,227,0.1823,-0.1167,175.3903934,-0.0114,0.0111,1875.5,-0.0211,-0.0528,528194.252,-0.0272,0.0706,418,0.1176,-0.1521,1.188481675,0.1335,0.0995
202108,19013,"black hawk, ia",149950,-0.0628,-0.1669,234,0.1415,-0.2688,40.5,0.265625,-0.336065574,128,-0.1579,0.0323,4,0,0,80,0.1111,-0.3103,334,-0.0592,0.1886,122.9713775,-0.0011,-0.0643,1342,-0.0317,-0.0738,210570.9502,-0.0404,-0.1231,568,0.0143,-0.0549,1.427350427,-0.3044,0.5492
202108,47141,"putnam, tn",399900,0.1428,0.3794,263,0.2644,0.1336,30,0.2,-0.473684211,132,-0.2667,-0.0571,4,,,108,0.5,1.4545,150,0.0067,0.4563,166.1386597,0.016,0.2314,2316,0.047,0.0648,484604.6891,0.0183,0.2635,413,0.1569,0.2328,0.570342205,-0.146,0.1264
202108,18177,"wayne, in",129950,0.3693,0.0838,104,0.1183,-0.2464,34,-0.028571429,-0.260869565,80,0.25,0.0526,0,-1,,16,-0.4286,-0.3333,139,-0.028,-0.0347,74.54142816,0.0847,0.0323,1702,0.0813,0.0179,149071.1002,0.0867,-0.1635,243,0.0297,-0.1383,1.336538462,-0.2011,0.2931
