month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,68111,"omaha, ne",*,110250,-0.0413,,50,0.2195,,28,0.037037037,,48,0.5,1.4,0,,,12,-0.25,0.5,45,-0.1176,0,93.6855368,0.054,0.2082,1200,-0.0164,-0.0385,114595.3443,-0.0037,0.27,95,0.0326,0.2338,0.9,-0.3439,-0.5063
202108,28104,"matthews, nc",*,678500,0.3061,0.1924,42,-0.1429,,18.5,-0.421875,,56,0.1667,0.2727,0,-1,-1,12,0,-0.4,77,-0.061,0.1493,206.1231202,0.0575,0.245,3472.5,0.2314,0.0142,808898.2846,0.1151,0.2705,119,-0.0916,-0.1377,1.833333333,0.1599,0.8897
202108,93657,"sanger, ca",*,674950,0.1738,0.5881,40,-0.0698,,52.5,0.640625,0.381578947,20,-0.1667,-0.2857,0,,,4,-0.5,,22,-0.12,-0.2667,328.5151117,0.3516,0.6706,1955,0.0262,-0.1158,717952.9379,0.059,0.1804,62,-0.0882,0.1481,0.55,-0.0314,-0.7
202108,54915,"appleton, wi",,302450,0.0429,0.1202,36,0.2414,-0.0769,30,0.071428571,-0.302325581,56,0.1667,0.1667,0,,,12,0.5,0.5,78,0.04,-0.1236,134.8270561,0.0121,0.1255,2083.5,-0.0083,0.0274,319514.2285,-0.0477,0.0568,114,0.0962,-0.1094,2.166666667,-0.4195,-0.1154
202108,34288,"north port, fl",*,381090,0.1552,,36,0.6364,-0.6,31.5,0.75,-0.5078125,32,0.3333,-0.2,4,,-0.6667,4,0,-0.5,135,-0.0625,0.0227,199.2860378,0.0027,0.3121,1924,0.0647,0.0957,390987.8692,0.1413,0.4386,171,0.0301,-0.2297,3.75,-2.7955,2.2833
202108,48840,"haslett, mi",,237450,-0.2912,-0.1517,19,0.0556,-0.2692,30,-0.032258065,-0.423076923,12,-0.5714,-0.25,0,,,8,1,0,27,-0.2895,-0.2286,151.2859446,-0.0872,0.1266,1552.5,-0.1093,-0.2536,364456.8462,-0.2082,0.0757,46,-0.1786,-0.2459,1.421052632,-0.6901,0.0749
202108,30527,"clermont, ga",,775000,0,0.9375,32,0.0667,-0.0303,67.5,0.163793103,-0.296875,8,-0.3333,-0.5,0,,,4,-0.5,,11,-0.5769,-0.4211,140.8378675,-0.1893,0.0915,1821.5,-0.0625,-0.4124,1045153.73,-0.0095,0.3857,43,-0.2321,-0.1731,0.34375,-0.5229,-0.232
202108,73049,"jones, ok",*,529100,0,,28,0.3333,0.0769,63.5,-0.052238806,0.007936508,4,0,0,0,,,4,0,0,18,-0.28,-0.1429,185.8795308,0.0355,0.182,2946,-0.0213,0.1388,597099.2512,-0.0248,-0.0785,46,0,-0.0213,0.642857143,-0.5476,-0.1648
202108,67665,"russell, ks",,79700,0.0627,-0.2022,22,-0.1538,-0.3333,111,0.121212121,0.275862069,4,-0.5,-0.5,0,,,0,-1,,8,-0.2727,-0.5556,45.11722931,0.0828,-0.1576,1706.5,0.0158,-0.0928,150662.1394,0.0809,0.2707,30,-0.1892,-0.4118,0.363636364,-0.0594,-0.1818
202108,33458,"jupiter, fl",,507499.5,-0.0406,0.0914,87,-0.1122,-0.5348,39.5,-0.05952381,-0.318965517,60,-0.1667,-0.2857,0,-1,-1,28,-0.2222,-0.6111,148,-0.039,-0.2371,303.859412,-0.0013,0.2475,1749,-0.039,-0.0947,1240531.799,-0.0159,0.4131,235,-0.0675,-0.3832,1.701149425,0.1297,0.6637
