month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,10900,"allentown-bethlehem-easton, pa-nj",66,299450,0.0015,0.0714,1589,-0.0025,-0.0783,30.5,0.173076923,-0.128571429,1208,-0.1322,0.0378,32,-0.4667,-0.6923,476,0.1667,0.1782,877,0.0306,1.5201,142.0876839,0.0084,0.0541,1737.5,-0.0217,0.0084,394416.3176,-0.0099,0.1264,2466,0.009,0.1902,0.551919446,0.0177,0.3501
202108,17900,"columbia, sc",67,272450,0.0281,0.0855,1145,0.1248,-0.2919,21.5,0.264705882,-0.475609756,1004,0,0.1674,164,0.5185,-0.2545,384,0.2973,-0.232,33,-0.1316,-0.175,129.4783155,0.0206,0.1586,2053.5,0.0086,-0.0861,333907.4833,0.0201,0.0773,1178,0.1155,-0.2891,0.028820961,-0.0085,0.0041
202108,12940,"baton rouge, la",68,299945,-0.0133,0.1113,1648,0,-0.4552,51.5,0.072916667,-0.331168831,708,-0.1238,-0.1881,32,-0.4286,-0.8596,484,0.1,-0.395,2100,-0.045,0.0043,152.2449871,-0.0012,0.1173,2032,-0.0049,0.0099,422394.1566,0.0081,0.204,3748,-0.0257,-0.2674,1.274271845,-0.0601,0.583
202108,24660,"greensboro-high point, nc",69,262500,0.01,-0.1247,789,0.1435,-0.2892,35,0,-0.326923077,844,0.1788,0.3439,20,-0.5,-0.6429,244,0.22,-0.2078,1922,-0.0159,1.4929,0,,,0,,,356607.1994,0.0352,-0.049,2711,0.0257,0.4413,2.43599493,-0.3944,1.7414
202108,23420,"fresno, ca",70,400000,0,0.1429,861,0.0749,0.0996,25,0.136363636,-0.166666667,868,-0.0136,0.1244,36,0,-0.1818,240,0.2245,0.0526,607,0.0557,-0.1087,225.761314,0.015,0.1971,1866,-0.0027,-0.0032,544255.1013,-0.0205,0.1745,1468,0.0669,0.0027,0.704994193,-0.0129,-0.1647
202108,16700,"charleston-north charleston, sc",71,496893,-0.0352,0.0472,1459,0.0588,-0.5191,34.5,0.15,-0.4609375,1128,0.0144,-0.0408,172,0.8696,-0.4691,660,0.4865,-0.2979,2149,-0.0214,-0.2032,254.3517417,-0.0378,0.1013,2089,-0.0284,-0.0556,948556.8605,-0.0518,0.1728,3608,0.0095,-0.3704,1.472926662,-0.1207,0.584
202108,30780,"little rock-north little rock-conway, ar",72,244500,0.0158,0.0295,1052,0.1097,-0.3083,33.5,0.34,-0.220930233,728,-0.0267,-0.0714,16,-0.2,0,368,0.2603,-0.2069,1687,1.2463,0.4129,121.6883609,0.0144,0.0987,1973,0.0041,-0.0746,331471.9949,-0.0025,0.0513,2739,0.6121,0.0088,1.603612167,0.8114,0.8186
202108,15980,"cape coral-fort myers, fl",73,399450,0.0484,0.1924,1992,0.0479,-0.6507,43,0.023809524,-0.455696203,1388,-0.0086,-0.2633,144,0.125,-0.3571,552,0.0147,-0.5322,3859,-0.0336,-0.0248,228.8049065,0.0389,0.2487,1771,0.0132,0.0063,729319.0573,0.0387,0.1922,5851,-0.0073,-0.3943,1.937248996,-0.1632,1.2434
202108,10420,"akron, oh",74,184550,-0.0282,-0.0282,930,0.0568,0.0345,32,0.066666667,-0.304347826,856,-0.1336,0.2442,8,-0.3333,-0.5,408,0.2439,0.1333,1670,0.0671,0.0109,111.0606068,0.0077,0.0904,1636,-0.025,-0.0689,280148.5344,0.0385,0.0268,2600,0.0634,0.0192,1.795698925,0.0173,-0.0419
202108,21340,"el paso, tx",75,247950,-0.0078,0.1508,1109,0.0684,-0.2404,38.5,-0.104651163,-0.324561404,684,-0.0284,-0.1699,104,-0.6709,-0.4694,176,0.0233,0.0732,495,-0.0917,-0.0678,130.4277861,0.0173,0.1338,1930.5,-0.0225,-0.008,285180.2056,-0.0011,0.1457,1604,0.0133,-0.1944,0.446348061,-0.0787,0.0826
